platform,nama_produk,lokasi,harga
Facebook Marketplace,Rp 8.200Rp 123.456 Dji Lito X1,"Tondano, Sulawesi Utara, Indonesia",
Facebook Marketplace,Tv Sharp smart tv 43 inchi,"Bitung, Sulawesi Utara, Indonesia",Rp 2.500.000
Facebook Marketplace,2019 Yamaha Byson Manado,Manado,Rp 40.000.000
Facebook Marketplace,Spion Sigra Calya 1.2 Manado,Manado,Rp 16
Facebook Marketplace,1996 Honda Civic,"Langowan, Sulawesi Utara, Indonesia",Rp 58.000.000
Facebook Marketplace,"Rp 999.999Rp 1.200.000 Intel i5 9600k LGA 1151 6 Cores up to 4.6GHz Turbo Unlocked (ada iGPU, nda perlu VGA)","Tondano, Sulawesi Utara, Indonesia",
Facebook Marketplace,2025 Toyota Fortuner Manado,Manado,Rp 15.000.000
Facebook Marketplace,Jaket Jeans STUSSY Second Original ✅ Manado,Manado,Rp 0
Facebook Marketplace,velg r16 ce28 lebar 7 et 40 doublepcd 4x100/114 setban 205/50/16 sx2 Manado,Manado,Rp 123
Facebook Marketplace,Barang Manado,Manado,Rp 1.111.111
Facebook Marketplace,Rp 6Rp 9 Gimbal stabilizer Manado,Manado,
Facebook Marketplace,IMPACT WRENCH DAGMARA 330NM Manado,Manado,Rp 525
Facebook Marketplace,Custom booth Manado,Manado,Rp 1.234.567.890
Facebook Marketplace,1991 Suzuki Jimny,"Tombatu, Sulawesi Utara, Indonesia",Rp 73.000.000
Facebook Marketplace,Baru terdaftar meja pingpong full set gratis ongkir Manado,Manado,Rp 2
Facebook Marketplace,Drone Dji Mavic 3 Clasik Manado,Manado,Rp 123.456
Facebook Marketplace,Hp iphone 11 64Gb,"Bitung, Sulawesi Utara, Indonesia",Rp 3.200.000
Facebook Marketplace,Power,"Tondano, Sulawesi Utara, Indonesia",Rp 750
Facebook Marketplace,1995 Daihatsu Taff hailen Manado,Manado,Rp 1.234.567.891
